from_year,to_year,from_phenotype_code,to_phenotype_code,n,row_percent
2013,2014,P1,P1,1138532,80.32
2013,2014,P1,P2,72846,5.14
2013,2014,P2,P2,615623,66.96
2013,2014,P3,P3,231713,40.2
2013,2014,P3,P1,134322,23.31
2013,2014,P4,P2,85627,23.34
2013,2014,P4,P4,218027,59.42
2013,2014,P5,P5,117171,51.35
2013,2014,P2,P3,120904,13.15
2013,2014,P2,P5,30884,3.36
2013,2014,P2,P1,43636,4.75
2013,2014,P1,P3,187642,13.24
2013,2014,P3,P4,28159,4.89
2013,2014,P2,P4,108356,11.79
2013,2014,P3,P5,58413,10.14
2013,2014,P3,P2,123729,21.47
2013,2014,P5,P2,20786,9.11
2013,2014,P5,P4,46218,20.26
2013,2014,P5,P3,37780,16.56
2013,2014,P4,P5,45724,12.46
2013,2014,P4,P3,13786,3.76
2013,2014,P1,P5,10405,0.73
2013,2014,P5,P1,6204,2.72
2013,2014,P4,P1,3753,1.02
2013,2014,P1,P4,8104,0.57
