from_year,to_year,from_phenotype_code,to_phenotype_code,n
2012,2013,P2,P2,126730
2012,2013,P4,P4,43487
2012,2013,P3,P1,29303
2012,2013,P1,P1,250855
2012,2013,P5,P5,22402
2012,2013,P2,P3,24647
2012,2013,P3,P3,46280
2012,2013,P2,P4,20198
2012,2013,P3,P2,24575
2012,2013,P3,P5,9606
2012,2013,P4,P2,18918
2012,2013,P3,P4,4704
2012,2013,P5,P2,4281
2012,2013,P2,P1,9531
2012,2013,P1,P2,15252
2012,2013,P1,P3,35002
2012,2013,P1,P5,1669
2012,2013,P4,P3,3941
2012,2013,P4,P5,8888
2012,2013,P5,P3,8976
2012,2013,P5,P4,8533
2012,2013,P2,P5,5308
2012,2013,P5,P1,1339
2012,2013,P4,P1,833
2012,2013,P1,P4,1644
