metric_id,page,label,data_file,field,format,status,privacy_classification,display_note
overview_total_population,Overview,Total population,project_summary.json,total_patients,integer,available,aggregate_or_configuration,""
overview_expected_onsets,Overview,Expected onset cases,project_summary.json,total_positives,integer,available,aggregate_or_configuration,""
overview_positive_rate,Overview,Observed positive rate,project_summary.json,positive_rate,percent,available,aggregate_or_configuration,""
overview_partner_sites,Overview,Partner sites,project_summary.json,federated_clients,integer,available,aggregate_or_configuration,""
overview_fl_auroc,Overview,Collaborative AUROC,project_summary.json,best_federated_auroc,decimal,available,aggregate_or_configuration,""
overview_fl_recall,Overview,Collaborative recall,project_summary.json,best_federated_recall,percent,available,aggregate_or_configuration,""
risk_top_1_placeholder,Risk Population,Top 1% band,threshold_analysis_summary.csv,top_k_percent,percent,pending_final_risk_band_scoring,aggregate_or_configuration,""
risk_top_5_placeholder,Risk Population,Top 5% band,threshold_analysis_summary.csv,top_k_percent,percent,pending_final_risk_band_scoring,aggregate_or_configuration,""
risk_threshold_precision,Risk Population,Precision by threshold,threshold_analysis_summary.csv,precision,percent,available,aggregate_or_configuration,""
risk_threshold_recall,Risk Population,Recall by threshold,threshold_analysis_summary.csv,recall_sensitivity,percent,available,aggregate_or_configuration,""
planner_selected_population_rate,Intervention Planner,Selected population rate,threshold_analysis_summary.csv,predicted_positive_rate,percent,available,aggregate_or_configuration,""
planner_expected_captured,Intervention Planner,Expected positives captured,threshold_analysis_summary.csv,true_positives,integer,available,aggregate_or_configuration,""
planner_false_positives,Intervention Planner,Expected false positives,threshold_analysis_summary.csv,false_positives,integer,available,aggregate_or_configuration,""
planner_missed_positives,Intervention Planner,Missed positives,threshold_analysis_summary.csv,false_negatives,integer,available,aggregate_or_configuration,""
planner_number_needed_to_review,Intervention Planner,Number needed to review,threshold_analysis_summary.csv,precision,derived_inverse,available,aggregate_or_configuration,""
cohort_top_driver,Cohort Insights,Top aggregate driver,feature_importance_summary.csv,feature,text,available,aggregate_or_configuration,""
cohort_driver_group,Cohort Insights,Driver group,feature_importance_summary.csv,product_group,text,available,aggregate_or_configuration,""
cohort_feature_rank,Cohort Insights,Feature rank,feature_importance_summary.csv,rank_gain,integer,available,aggregate_or_configuration,""
site_population,Partner Sites,Site population,fl_client_summary.csv,population,integer,available,aggregate_or_configuration,""
site_positive_count,Partner Sites,Site positives,fl_client_summary.csv,positive_count,integer,available,aggregate_or_configuration,""
site_positive_rate,Partner Sites,Site positive rate,fl_client_summary.csv,positive_rate,percent,available,aggregate_or_configuration,""
site_validation_status,Partner Sites,Validation status,fl_client_summary.csv,validation_status,status,available,aggregate_or_configuration,""
trust_model_auroc,Trust & Validation,AUROC,centralized_vs_federated_metrics.csv,AUROC,decimal,available,aggregate_or_configuration,""
trust_model_auprc,Trust & Validation,AUPRC,centralized_vs_federated_metrics.csv,AUPRC,decimal,available,aggregate_or_configuration,""
trust_model_brier,Trust & Validation,Brier score,centralized_vs_federated_metrics.csv,Brier,decimal,available,aggregate_or_configuration,""
trust_temporal_auroc,Trust & Validation,Temporal AUROC,temporal_validation_metrics.csv,AUROC,decimal,available,aggregate_or_configuration,""
trust_validation_status,Trust & Validation,Validation engine status,validation_engine_summary.json,current_status,status,available,aggregate_or_configuration,""
reports_available_count,Reports,Available report types,dashboard_page_specs.json,reports,count,available,aggregate_or_configuration,""
reports_last_generated,Reports,Data package generated,dashboard_manifest.json,generated_at,datetime,available,aggregate_or_configuration,""
settings_use_case,Settings,Use case,project_summary.json,use_case,text,available,aggregate_or_configuration,""
settings_prediction_horizon,Settings,Prediction horizon,project_summary.json,prediction_horizon,text,available,aggregate_or_configuration,""
settings_model_version,Settings,Model version,model_registry.json,model_id,select,available,aggregate_or_configuration,""
