round,global_weighted_loss,global_weighted_auroc,global_weighted_auprc,global_weighted_brier,global_weighted_precision_at_0_5,global_weighted_recall_at_0_5,global_weighted_specificity_at_0_5,global_weighted_f1_at_0_5,total_validation_rows,total_validation_positives,participating_clients
1,0.5160733348488461,0.8221423964064465,0.01224742776977478,0.1871361339447541,0.008011668824376242,0.8496280552603613,0.6597483466460534,0.015873557531096375,1168064,3764,4
2,0.5119083281246174,0.8238957867438331,0.012572552122762325,0.18537841532782684,0.00804161065637806,0.8522848034006376,0.6600584041913596,0.015932828620805948,1168064,3764,4
3,0.5113508705088331,0.823938418846259,0.01283673558857176,0.1852161141005466,0.008019962292939806,0.854941551540914,0.6580572017521257,0.015890801484705085,1168064,3764,4
4,0.5084544643580107,0.8243156656729703,0.012765006816620615,0.1839583984981645,0.008047500459130724,0.8552072263549415,0.6591393970626128,0.015944883830485913,1168064,3764,4
5,0.5079221708322347,0.8244227086865054,0.012963172684686998,0.18403363002223808,0.008064412564482665,0.8591923485653559,0.6582272610152023,0.0159787676837537,1168064,3764,4
6,0.5082325668970099,0.8248650788152643,0.012935487924349258,0.18374789811513575,0.00807745439102074,0.8562699256110521,0.6599836811818259,0.016003873775773628,1168064,3764,4
7,0.5108395173752166,0.8249215146900853,0.012875344515333856,0.18483831976931947,0.008056917770404117,0.8549415515409139,0.6596985313063642,0.01596336941220237,1168064,3764,4
8,0.5102359909237878,0.8249782047620573,0.013079276202588041,0.18459050290201004,0.008093161598586793,0.8568012752391073,0.6604388903203642,0.016034793650208455,1168064,3764,4
9,0.5098630573487656,0.8252472626343971,0.013066466667847177,0.1843562799697486,0.008079036863956689,0.8607863974495218,0.6582427209482091,0.01600775290964859,1168064,3764,4
10,0.5084723756868482,0.8251311346968341,0.012999156368219172,0.18392083997530287,0.008100459070054477,0.852816153028693,0.662341320965387,0.016048423093400464,1168064,3764,4
